name,lat,lng
Unnamed Mosque 136,23.6341045,55.9478396
Unnamed Mosque 137,24.5487231,56.4629128
Unnamed Mosque 138,25.2919677,55.3842711
Unnamed Mosque 139,25.7137903,55.9184198
Unnamed Mosque 140,25.7249467,55.8989017
Unnamed Mosque 141,25.7315221,55.8994658
Unnamed Mosque 142,25.7220408,55.9047231
Unnamed Mosque 143,25.7298761,55.9041964
Unnamed Mosque 144,25.7541501,55.9285102
Unnamed Mosque 145,25.7443828,55.9347759
Unnamed Mosque 146,25.7430251,55.9380669
Unnamed Mosque 147,25.7636756,55.9485703
Unnamed Mosque 148,25.7514459,55.9104623
Unnamed Mosque 149,25.7653043,55.9413155
Unnamed Mosque 150,25.7602751,55.9227817
مسجد,23.2207956,56.4909948
مسجد الصفا,23.225407,56.4900955
مسجد,23.219787,56.4724359
مسجد,23.2187042,56.4809665
مسجد,23.2204236,56.4528728
مسجد,23.2255925,56.4948896
Unnamed Mosque 157,25.1653341,55.2110152
مسجد,23.2186153,56.4900231
Unnamed Mosque 159,25.3468673,55.4411896
جامع هجار,23.2254402,56.4720273
مسجد,23.2161093,56.4749335
مسجد,23.2206074,56.4494764
مسجد,23.2077057,56.4897595
مسجد,23.1805164,56.494721
مسجد,23.1792072,56.4900056
مسجد,23.1820283,56.4804798
مسجد,23.1728225,56.4697162
مسجد,23.1807055,56.4708776
مسجد,23.1961143,56.4796549
مسجد,23.2156194,56.4923459
مسجد,23.2177117,56.4997133
مسجد,23.2089513,56.4986543
مسجد,23.2037231,56.497217
مسجد,23.1974714,56.4883044
مسجد,23.2321882,56.4315358
Unnamed Mosque 176,25.7099824,55.8040276
Unnamed Mosque 177,25.7084995,55.8054861
Unnamed Mosque 178,25.707789,55.8074548
Unnamed Mosque 179,25.7077068,55.811682
Unnamed Mosque 180,25.7108,55.8166756
Unnamed Mosque 181,25.7067528,55.8123861
Unnamed Mosque 182,24.9643876,55.0494778
Unnamed Mosque 183,25.2392139,55.3213277
Unnamed Mosque 184,25.444483,55.5132444
Unnamed Mosque 185,25.5442566,55.5386197
Unnamed Mosque 186,26.1977819,56.2484211
Unnamed Mosque 187,25.261517,55.2977501
Unnamed Mosque 188,26.1963856,56.2532236
Unnamed Mosque 189,25.29037,55.3797589
مسجد,23.2349417,56.4931537
مسجد,23.2402448,56.4973219
مسجد,23.2380048,56.499051
Unnamed Mosque 193,24.3571943,54.4969832
Unnamed Mosque 194,24.9476037,55.0816776
مسجد,23.2198416,56.4992024
مسجد,23.2177713,56.4936172
مسجد,23.2200919,56.4967452
مسجد,23.2328836,56.496672
مسجد,23.2270861,56.4986292
Unnamed Mosque 200,25.0329465,55.2214373
Unnamed Mosque 201,25.0714523,55.3604196
Unnamed Mosque 202,24.593998,55.4114354
Unnamed Mosque 203,25.0185528,56.3415401
مسجد اوحلة,24.9083472,56.3034173
Unnamed Mosque 205,25.2233244,56.3231548
Unnamed Mosque 206,25.2579296,56.3567155
Unnamed Mosque 207,25.2785113,56.3522297
Unnamed Mosque 208,25.3047084,56.1407515
Unnamed Mosque 209,25.3067125,56.1407718
Unnamed Mosque 210,24.7625072,54.6846367
Unnamed Mosque 211,24.6978853,54.6585254
Khalifa Thani,24.4498691,54.725849
Unnamed Mosque 213,24.5509048,54.7780964
Unnamed Mosque 214,24.5437684,54.7941723
Unnamed Mosque 215,24.5385651,54.7704624
Unnamed Mosque 216,24.5462288,54.7706383
Unnamed Mosque 217,24.5636957,54.8677622
Unnamed Mosque 218,24.5477061,54.8546857
Unnamed Mosque 219,24.5476172,54.8609048
Unnamed Mosque 220,24.5208503,55.5362835
Unnamed Mosque 221,24.5118404,55.4857035
Unnamed Mosque 222,24.5397562,55.6168361
Unnamed Mosque 223,24.5222734,54.8950561
Burj Daman Masjid,25.2108241,55.2815975
Unnamed Mosque 225,25.0436493,55.2408843
Masjid Aisha,25.181999,55.4416894
مسجد بن كرم,24.25592,55.7687078
مسجد,23.5545191,56.2443899
مسجد,23.5587214,56.2415752
مسجد,23.5605089,56.249059
مسجد,23.5648804,56.2499519
مسجد,23.5557519,56.25327
مسجد,23.5575567,56.2511737
Unnamed Mosque 234,23.5575938,56.2539134
مسجد,23.5667476,56.2576866
مسجد,23.548116,56.2533774
مسجد,23.545792,56.2552307
مسجد,23.5505119,56.2572222
مسجد,23.5439001,56.2606955
مسجد,23.5396851,56.2624539
مسجد,23.546971,56.2805026
مسجد,23.5343468,56.2634995
مسجد,23.5372422,56.2672157
مسجد,23.5718555,56.2668664
جامع السلطان قابوس بن سعيد,23.5526014,56.2426181
Unnamed Mosque 246,25.3956124,56.1634378
Unnamed Mosque 247,25.1610572,55.2714594
Female Prayer Room,24.4329655,54.6170274
Female Prayer Room,24.4323196,54.6188384
Male Prayer Room,24.4330947,54.6187398
Male Prayer Room,24.4327847,54.6172531
Unnamed Mosque 252,25.7784275,56.0494198
Unnamed Mosque 253,25.7802631,56.0517501
masjid,25.8662675,56.0972213
Unnamed Mosque 255,25.0377926,55.1854759
Unnamed Mosque 256,25.0386387,55.1811923
Unnamed Mosque 257,25.2986599,55.3460988
Unnamed Mosque 258,25.4315423,55.5320652
Unnamed Mosque 259,25.4329978,55.5430379
Unnamed Mosque 260,25.4434434,55.5493306
Unnamed Mosque 261,25.3858149,55.4757031
Unnamed Mosque 262,25.3988392,55.4519047
Unnamed Mosque 263,25.3172756,55.5749137
Unnamed Mosque 264,25.4151192,55.4807098
Unnamed Mosque 265,25.763952,55.9733306
Unnamed Mosque 266,24.0555707,51.7615267
Unnamed Mosque 267,24.0436124,51.757291
Unnamed Mosque 268,24.019408,51.761584
Unnamed Mosque 269,24.1198665,51.6011008
مسجد,23.2531952,56.489
مسجد,23.2607792,56.4923817
مسجد محمود بن الربيع,25.3562531,55.4615454
مسجد,25.1495269,51.5997812
Unnamed Mosque 274,25.6780877,51.5205614
Unnamed Mosque 275,25.6757207,51.5099586
Masjid Al Iman,25.2691735,55.2988489
